[time, indiv, gender, coords]
[7550, 'popsize', 15, 'queuesize', 0]
[8400, 16, 0, [8.921201705932617, -8.738873481750488]]
[8400, 13, 0, [3.7315969467163086, -11.189831733703613]]
[8400, 0, 0, [11.070572853088379, -1.1516402959823608]]
[8400, 10, 0, [1.1846587657928467, -6.278295993804932]]
[8400, 2, 0, [1.2060847282409668, -11.301901817321777]]
[8400, 17, 0, [3.397390604019165, -8.736570358276367]]
[8400, 20, 0, [9.072629928588867, -6.229989528656006]]
[8400, 8, 0, [11.006146430969238, -6.244907855987549]]
[8400, 14, 1, [0.8312045335769653, -3.699965238571167]]
[8400, 7, 1, [3.72725772857666, -1.1960678100585938]]
[8400, 18, 1, [3.7245781421661377, -3.935016393661499]]
[8400, 11, 1, [6.2075629234313965, -1.197382926940918]]
[8400, 21, 1, [6.256001949310303, -8.75389575958252]]
[8400, 12, 1, [11.20358943939209, -8.749361038208008]]
[8400, 24, 1, [6.2230753898620605, -6.233185291290283]]
[14450, 'popsize', 15, 'queuesize', 0]
[15300, 16, 0, [8.912714958190918, -8.750576972961426]]
[15300, 13, 0, [3.7472450733184814, -11.194018363952637]]
[15300, 0, 0, [10.983133316040039, -1.1379995346069336]]
[15300, 10, 0, [1.1737605333328247, -6.30389928817749]]
[15300, 2, 0, [1.2146506309509277, -11.30841064453125]]
[15300, 17, 0, [2.83061146736145, -8.649962425231934]]
[15300, 20, 0, [9.62369155883789, -6.133160591125488]]
[15300, 8, 0, [10.939203262329102, -6.248556613922119]]
[15300, 14, 1, [0.3550388216972351, -3.4955406188964844]]
[15300, 7, 1, [3.7402548789978027, -1.2763564586639404]]
[15300, 18, 1, [3.625206470489502, -4.49181604385376]]
[15300, 11, 1, [6.215153694152832, -1.1906002759933472]]
[15300, 21, 1, [6.426115989685059, -8.56329345703125]]
[15300, 12, 1, [11.195963859558105, -8.77105712890625]]
[15300, 24, 1, [6.245798110961914, -6.311853885650635]]
[21500, 'popsize', 15, 'queuesize', 0]
[22400, 16, 0, [8.915865898132324, -8.765689849853516]]
[22400, 13, 0, [3.7641232013702393, -11.21076488494873]]
[22400, 0, 0, [10.986738204956055, -1.1394606828689575]]
[22400, 10, 0, [1.1595391035079956, -6.237603664398193]]
[22400, 2, 0, [1.07281494140625, -11.344324111938477]]
[22400, 17, 0, [2.25039005279541, -8.489165306091309]]
[22400, 20, 0, [10.089920043945312, -5.994973659515381]]
[22400, 8, 0, [10.91085433959961, -6.212679862976074]]
[22400, 14, 1, [0.12347748875617981, -3.340219259262085]]
[22400, 7, 1, [3.742365837097168, -1.2017689943313599]]
[22400, 18, 1, [3.6669609546661377, -4.599792003631592]]
[22400, 11, 1, [6.226202011108398, -1.1862653493881226]]
[22400, 21, 1, [6.414425373077393, -8.417043685913086]]
[22400, 12, 1, [11.350872039794922, -8.961867332458496]]
[22400, 24, 1, [6.245445728302002, -6.28937292098999]]
[28550, 'popsize', 15, 'queuesize', 0]
[29350, 16, 0, [8.925639152526855, -8.782879829406738]]
[29350, 13, 0, [3.805521011352539, -11.365650177001953]]
[29350, 0, 0, [10.981596946716309, -1.0884326696395874]]
[29350, 10, 0, [1.1694350242614746, -6.281502723693848]]
[29350, 2, 0, [0.9386746287345886, -11.406505584716797]]
[29350, 17, 0, [1.711079478263855, -8.264924049377441]]
[29350, 20, 0, [10.165037155151367, -5.9775166511535645]]
[29350, 8, 0, [10.71628189086914, -6.325328350067139]]
[29350, 14, 1, [0.1233355849981308, -3.334301710128784]]
[29350, 7, 1, [3.786022901535034, -1.2731045484542847]]
[29350, 18, 1, [3.637481451034546, -4.644954204559326]]
[29350, 11, 1, [6.232337474822998, -1.1860238313674927]]
[29350, 21, 1, [6.37736177444458, -7.918787002563477]]
[29350, 12, 1, [11.3307523727417, -8.989506721496582]]
[29350, 24, 1, [6.198133945465088, -6.2745361328125]]
[35550, 'popsize', 15, 'queuesize', 0]
[36350, 16, 0, [8.939824104309082, -8.789246559143066]]
[36350, 13, 0, [4.14573335647583, -11.790793418884277]]
[36350, 0, 0, [11.023435592651367, -1.1385194063186646]]
[36350, 10, 0, [1.179245114326477, -6.253182411193848]]
[36350, 2, 0, [0.7618271708488464, -11.778718948364258]]
[36350, 17, 0, [1.2029653787612915, -7.969354152679443]]
[36350, 20, 0, [10.697190284729004, -5.736608982086182]]
[36350, 8, 0, [10.661873817443848, -6.4205641746521]]
[36350, 14, 1, [0.12332842499017715, -3.3300209045410156]]
[36350, 7, 1, [3.759665012359619, -1.2020139694213867]]
[36350, 18, 1, [3.6643025875091553, -4.829217433929443]]
[36350, 11, 1, [6.21659517288208, -1.1706788539886475]]
[36350, 21, 1, [6.314932823181152, -7.421971797943115]]
[36350, 12, 1, [11.32703971862793, -8.988162994384766]]
