[time, indiv, gender, coords]
[13100, 'popsize', 25, 'queuesize', 0]
[14400, 11, 0, [7.064223766326904, -1.1678013801574707]]
[14400, 9, 0, [6.208284854888916, -11.237116813659668]]
[14400, 0, 0, [12.013303756713867, -1.1707626581192017]]
[14400, 4, 0, [11.972491264343262, -3.681385040283203]]
[14400, 6, 0, [1.2744112014770508, -8.93625545501709]]
[14400, 15, 0, [8.745718955993652, -1.4939762353897095]]
[14400, 3, 0, [1.395100474357605, -0.8689905405044556]]
[14400, 13, 0, [3.105314016342163, -11.20949935913086]]
[14400, 8, 0, [11.257063865661621, -6.250614643096924]]
[14400, 19, 0, [8.755188941955566, -3.7667760848999023]]
[14400, 14, 0, [1.2934681177139282, -3.6792328357696533]]
[14400, 5, 0, [9.28795337677002, -11.21639347076416]]
[14400, 12, 0, [11.2448091506958, -8.811752319335938]]
[14400, 21, 1, [7.04461669921875, -8.677589416503906]]
[14400, 2, 1, [2.0143234729766846, -11.158246994018555]]
[14400, 23, 1, [6.211096286773682, -3.7591161727905273]]
[14400, 20, 1, [8.717813491821289, -6.256809711456299]]
[14400, 24, 1, [6.231283664703369, -6.257201194763184]]
[14400, 22, 1, [3.065497636795044, -6.1966776847839355]]
[14400, 18, 1, [4.403039932250977, -3.688694715499878]]
[14400, 17, 1, [3.720679998397827, -8.998380661010742]]
[14400, 1, 1, [10.639775276184082, -11.214969635009766]]
[14400, 7, 1, [3.166334629058838, -1.2097982168197632]]
[14400, 16, 1, [9.305976867675781, -8.707504272460938]]
[14400, 10, 1, [1.7718732357025146, -6.2233805656433105]]
[24650, 'popsize', 25, 'queuesize', 0]
[26000, 11, 0, [7.981943607330322, -0.8924113512039185]]
[26000, 9, 0, [6.189592361450195, -11.208877563476562]]
[26000, 0, 0, [12.165277481079102, -1.1464457511901855]]
[26000, 4, 0, [12.386500358581543, -3.5200107097625732]]
[26000, 6, 0, [1.3376247882843018, -8.939909934997559]]
[26000, 15, 0, [8.841619491577148, -1.6046628952026367]]
[26000, 3, 0, [1.2343339920043945, -0.12006445974111557]]
[26000, 13, 0, [2.676767110824585, -11.077317237854004]]
[26000, 8, 0, [11.160762786865234, -6.294702529907227]]
[26000, 19, 0, [8.752142906188965, -3.804173707962036]]
[26000, 14, 0, [1.8970826864242554, -2.919825792312622]]
[26000, 5, 0, [9.684067726135254, -11.301746368408203]]
[26000, 12, 0, [10.763591766357422, -8.942380905151367]]
[26000, 21, 1, [7.9602155685424805, -8.411789894104004]]
[26000, 2, 1, [2.7072129249572754, -10.927855491638184]]
[26000, 23, 1, [6.251836776733398, -3.757383108139038]]
[26000, 20, 1, [8.703391075134277, -5.8859100341796875]]
[26000, 24, 1, [6.256122589111328, -6.233494758605957]]
[26000, 22, 1, [2.3634893894195557, -5.959402084350586]]
[26000, 18, 1, [5.31773042678833, -3.4143176078796387]]
[26000, 17, 1, [3.908046007156372, -9.644668579101562]]
[26000, 1, 1, [9.686301231384277, -10.994124412536621]]
[26000, 7, 1, [2.218248128890991, -0.9858548641204834]]
[26000, 16, 1, [10.225196838378906, -8.484318733215332]]
[26000, 10, 1, [2.6642069816589355, -6.0365891456604]]
[36200, 'popsize', 25, 'queuesize', 1]
[37550, 11, 0, [8.801857948303223, -0.4002866744995117]]
[37550, 9, 0, [6.191582202911377, -11.217257499694824]]
[37550, 0, 0, [12.373165130615234, -1.1161092519760132]]
[37550, 4, 0, [12.394049644470215, -3.350935459136963]]
[37550, 6, 0, [1.2514457702636719, -9.255901336669922]]
[37550, 15, 0, [8.544861793518066, -1.5321630239486694]]
[37550, 3, 0, [1.0901119709014893, -0.1057075560092926]]
[37550, 13, 0, [2.872330904006958, -10.556927680969238]]
[37550, 8, 0, [11.04629135131836, -6.286138534545898]]
[37550, 19, 0, [9.286877632141113, -3.685877799987793]]
[37550, 14, 0, [2.2239553928375244, -2.7330515384674072]]
[37550, 5, 0, [9.930793762207031, -12.218361854553223]]
