[time, indiv, gender, coords]
[12900, 'popsize', 25, 'queuesize', 0]
[14400, 11, 0, [5.427674293518066, -1.1724278926849365]]
[14400, 2, 0, [1.776950478553772, -11.552501678466797]]
[14400, 16, 0, [8.69200325012207, -8.759744644165039]]
[14400, 23, 0, [6.214921474456787, -3.751688241958618]]
[14400, 7, 0, [4.468538284301758, -1.1694203615188599]]
[14400, 18, 0, [3.7334578037261963, -3.754031181335449]]
[14400, 24, 0, [6.233148574829102, -6.241501808166504]]
[14400, 19, 0, [8.744361877441406, -3.7551486492156982]]
[14400, 22, 0, [4.379821300506592, -6.198590278625488]]
[14400, 6, 0, [1.2166122198104858, -8.78808307647705]]
[14400, 14, 0, [0.6619484424591064, -3.719569683074951]]
[14400, 3, 0, [1.7963272333145142, -1.203217625617981]]
[14400, 0, 0, [11.22165298461914, -1.303002953529358]]
[14400, 13, 1, [3.760643482208252, -11.237407684326172]]
[14400, 4, 1, [10.99254322052002, -3.7756364345550537]]
[14400, 20, 1, [8.70335865020752, -6.254281520843506]]
[14400, 10, 1, [1.9864692687988281, -6.193864822387695]]
[14400, 8, 1, [11.183530807495117, -6.311659336090088]]
[14400, 21, 1, [6.298494815826416, -8.797744750976562]]
[14400, 9, 1, [6.23106050491333, -11.536547660827637]]
[14400, 5, 1, [8.750035285949707, -11.252450942993164]]
[14400, 12, 1, [11.246893882751465, -8.734382629394531]]
[14400, 1, 1, [11.832246780395508, -11.208667755126953]]
[14400, 17, 1, [3.17500901222229, -8.718866348266602]]
[14400, 15, 1, [8.210598945617676, -1.2075719833374023]]
[24900, 'popsize', 25, 'queuesize', 0]
[26250, 11, 0, [5.135707855224609, -0.9780369997024536]]
[26250, 2, 0, [1.8020646572113037, -11.616680145263672]]
[26250, 16, 0, [8.713090896606445, -8.750459671020508]]
[26250, 23, 0, [6.247601509094238, -2.9473702907562256]]
[26250, 7, 0, [5.103810787200928, -0.8253306746482849]]
[26250, 18, 0, [3.764302968978882, -3.7355518341064453]]
[26250, 24, 0, [6.263525009155273, -6.25097131729126]]
[26250, 19, 0, [8.755908966064453, -3.7247610092163086]]
[26250, 22, 0, [5.317989349365234, -5.923903465270996]]
[26250, 6, 0, [1.0405352115631104, -8.816751480102539]]
[26250, 14, 0, [0.12333190441131592, -3.6388306617736816]]
[26250, 3, 0, [2.5082170963287354, -1.041122317314148]]
[26250, 0, 0, [11.266654014587402, -1.2762956619262695]]
[26250, 13, 1, [3.71282696723938, -11.18387508392334]]
[26250, 4, 1, [10.757564544677734, -4.126960754394531]]
[26250, 20, 1, [8.730475425720215, -6.25173807144165]]
[26250, 10, 1, [2.9147391319274902, -5.920351028442383]]
[26250, 8, 1, [10.55861759185791, -6.627722263336182]]
[26250, 21, 1, [6.672194480895996, -8.598095893859863]]
[26250, 9, 1, [6.216914653778076, -11.8084716796875]]
[26250, 5, 1, [8.757179260253906, -11.26931095123291]]
[26250, 12, 1, [11.192768096923828, -8.716998100280762]]
[26250, 1, 1, [12.384256362915039, -11.056768417358398]]
[26250, 17, 1, [2.2004196643829346, -8.512223243713379]]
[26250, 15, 1, [7.734833240509033, -1.0537471771240234]]
[36550, 'popsize', 25, 'queuesize', 0]
[37900, 11, 0, [5.200401782989502, -0.8306289315223694]]
[37900, 2, 0, [1.5965232849121094, -11.379334449768066]]
[37900, 16, 0, [8.741971969604492, -8.764321327209473]]
[37900, 23, 0, [6.195084571838379, -1.9888519048690796]]
[37900, 7, 0, [5.396912097930908, -0.797562301158905]]
[37900, 18, 0, [4.18895149230957, -4.187487602233887]]
[37900, 24, 0, [6.264639377593994, -6.290194034576416]]
[37900, 19, 0, [8.727992057800293, -3.686424970626831]]
[37900, 22, 0, [5.956792831420898, -5.587869644165039]]
[37900, 6, 0, [0.7477356195449829, -8.889257431030273]]
[37900, 14, 0, [0.12333423644304276, -3.634795904159546]]
[37900, 3, 0, [2.569957971572876, -1.0279759168624878]]
[37900, 0, 0, [11.277825355529785, -0.4271770715713501]]
[37900, 13, 1, [3.719531297683716, -11.212396621704102]]
[37900, 4, 1, [10.52281379699707, -4.299281120300293]]
[37900, 20, 1, [8.430985450744629, -6.466382026672363]]
[37900, 10, 1, [2.9781126976013184, -5.8939971923828125]]
[37900, 8, 1, [10.31405258178711, -6.666140556335449]]
[37900, 21, 1, [6.665284633636475, -8.63017463684082]]
[37900, 9, 1, [6.271683216094971, -12.189596176147461]]
[37900, 5, 1, [8.880555152893066, -11.318887710571289]]
[37900, 12, 1, [11.236382484436035, -8.705660820007324]]
[37900, 1, 1, [12.324365615844727, -11.332948684692383]]
[37900, 17, 1, [1.7845877408981323, -8.278482437133789]]
[37900, 15, 1, [7.4412150382995605, -0.18194757401943207]]
[48350, 'popsize', 25, 'queuesize', 0]
[49700, 11, 0, [5.44522762298584, -0.563423752784729]]
[49700, 2, 0, [1.6863043308258057, -10.62966251373291]]
[49700, 16, 0, [8.740618705749512, -8.783227920532227]]
[49700, 23, 0, [6.033337116241455, -1.4422770738601685]]
[49700, 7, 0, [5.555135250091553, -0.4364330768585205]]
[49700, 18, 0, [4.560706615447998, -4.441448211669922]]
[49700, 24, 0, [6.237428188323975, -6.300320625305176]]
[49700, 19, 0, [8.729349136352539, -3.70599365234375]]
[49700, 22, 0, [6.324520111083984, -5.433134078979492]]
[49700, 6, 0, [0.7479397058486938, -8.899515151977539]]
[49700, 14, 0, [0.1233312338590622, -3.628598928451538]]
[49700, 3, 0, [2.9488284587860107, -0.9412830471992493]]
[49700, 0, 0, [11.331949234008789, -0.8371999859809875]]
[49700, 13, 1, [3.7410004138946533, -11.167780876159668]]
[49700, 4, 1, [10.080082893371582, -4.223198890686035]]
[49700, 20, 1, [8.438518524169922, -6.4907379150390625]]
[49700, 10, 1, [2.5358242988586426, -6.147756576538086]]
[49700, 8, 1, [10.5341796875, -6.763913631439209]]
[49700, 21, 1, [7.027943134307861, -8.830829620361328]]
[49700, 9, 1, [6.28234338760376, -12.210387229919434]]
[49700, 5, 1, [9.25045394897461, -11.529751777648926]]
[49700, 12, 1, [11.198486328125, -8.676170349121094]]
[49700, 1, 1, [12.376670837402344, -11.408149719238281]]
[49700, 17, 1, [1.9847630262374878, -7.310762405395508]]
[49700, 15, 1, [7.41088342666626, -0.12415051460266113]]
[60050, 'popsize', 25, 'queuesize', 0]
[61400, 11, 0, [5.21858024597168, -0.44038325548171997]]
