[time, indiv, gender, coords]
[10250, 'popsize', 20, 'queuesize', 0]
[11300, 24, 0, [6.2459259033203125, -6.244649887084961]]
[11300, 3, 0, [0.6512400507926941, -1.168336272239685]]
[11300, 1, 0, [11.842581748962402, -11.208553314208984]]
[11300, 11, 0, [6.8183064460754395, -1.2373055219650269]]
[11300, 5, 0, [9.022024154663086, -11.229046821594238]]
[11300, 0, 0, [11.021777153015137, -1.276714563369751]]
[11300, 18, 0, [4.2308478355407715, -3.718682050704956]]
[11300, 8, 0, [11.227493286132812, -6.1913676261901855]]
[11300, 10, 0, [1.0462921857833862, -6.116123199462891]]
[11300, 23, 0, [6.654236316680908, -3.727613925933838]]
[11300, 7, 1, [3.1195287704467773, -1.2162764072418213]]
[11300, 20, 1, [8.137957572937012, -6.2112135887146]]
[11300, 19, 1, [8.762791633605957, -3.77201509475708]]
[11300, 4, 1, [10.699600219726562, -3.7212462425231934]]
[11300, 6, 1, [1.2497780323028564, -8.753335952758789]]
[11300, 14, 1, [1.2097926139831543, -3.7682430744171143]]
[11300, 2, 1, [1.068831443786621, -11.196293830871582]]
[11300, 13, 1, [3.2959020137786865, -11.235453605651855]]
[11300, 21, 1, [5.8192901611328125, -8.733259201049805]]
[11300, 17, 1, [3.3459572792053223, -8.736224174499512]]
[19500, 'popsize', 20, 'queuesize', 0]
[20550, 24, 0, [6.183996200561523, -6.213003635406494]]
[20550, 3, 0, [0.12368524074554443, -0.9479044079780579]]
[20550, 1, 0, [12.379377365112305, -11.07998275756836]]
[20550, 11, 0, [7.571203708648682, -1.1013026237487793]]
[20550, 5, 0, [9.039961814880371, -11.29337215423584]]
[20550, 0, 0, [10.962064743041992, -1.563528060913086]]
[20550, 18, 0, [4.986067771911621, -3.561410903930664]]
[20550, 8, 0, [11.233502388000488, -6.258798122406006]]
[20550, 10, 0, [1.3811492919921875, -5.67785120010376]]
[20550, 23, 0, [7.412017345428467, -3.5847816467285156]]
[20550, 7, 1, [2.357142925262451, -1.0629208087921143]]
[20550, 20, 1, [7.380002498626709, -6.046935558319092]]
[20550, 19, 1, [8.721543312072754, -3.763089179992676]]
[20550, 4, 1, [9.941751480102539, -3.559950828552246]]
[20550, 6, 1, [1.2458295822143555, -8.729464530944824]]
[20550, 14, 1, [1.216012716293335, -3.7837941646575928]]
[20550, 2, 1, [0.3050653040409088, -11.132452011108398]]
[20550, 13, 1, [2.52179217338562, -11.129258155822754]]
[20550, 21, 1, [5.048813819885254, -8.620725631713867]]
[20550, 17, 1, [2.579653263092041, -8.622883796691895]]
[28800, 'popsize', 20, 'queuesize', 0]
[29850, 24, 0, [6.294246196746826, -5.982380390167236]]
[29850, 3, 0, [0.12333215773105621, -0.9415331482887268]]
[29850, 1, 0, [12.394502639770508, -10.972436904907227]]
[29850, 11, 0, [8.299300193786621, -0.8521155714988708]]
[29850, 5, 0, [9.039955139160156, -11.23060131072998]]
[29850, 0, 0, [10.764378547668457, -1.6082810163497925]]
[29850, 18, 0, [5.7030534744262695, -3.2827327251434326]]
[29850, 8, 0, [11.202242851257324, -6.214559555053711]]
[29850, 10, 0, [1.2753106355667114, -5.2581987380981445]]
[29850, 23, 0, [8.135522842407227, -3.328415632247925]]
[29850, 7, 1, [1.6194835901260376, -0.8056546449661255]]
[29850, 20, 1, [6.6542816162109375, -5.753724575042725]]
[29850, 19, 1, [8.681253433227539, -3.8219428062438965]]
[29850, 4, 1, [9.219809532165527, -3.2606961727142334]]
[29850, 6, 1, [1.0863620042800903, -8.405332565307617]]
[29850, 14, 1, [1.2163429260253906, -3.794875144958496]]
[29850, 2, 1, [0.12072062492370605, -11.17708683013916]]
[29850, 13, 1, [1.7773215770721436, -10.898005485534668]]
[29850, 21, 1, [4.3056640625, -8.385114669799805]]
[29850, 17, 1, [1.8346716165542603, -8.382245063781738]]
[37950, 'popsize', 20, 'queuesize', 0]
[39050, 24, 0, [6.3177900314331055, -5.9218668937683105]]
[39050, 3, 0, [0.1233372762799263, -0.9369410276412964]]
[39050, 1, 0, [12.393966674804688, -10.84585189819336]]
[39050, 11, 0, [8.972376823425293, -0.5011659264564514]]
[39050, 5, 0, [8.855779647827148, -11.504776954650879]]
[39050, 0, 0, [10.661018371582031, -2.37333345413208]]
[39050, 18, 0, [5.92290735244751, -3.0329599380493164]]
[39050, 8, 0, [11.257957458496094, -6.2395148277282715]]
[39050, 10, 0, [1.4309617280960083, -4.504020690917969]]
[39050, 23, 0, [8.78952693939209, -2.9866862297058105]]
[39050, 7, 1, [1.466920018196106, -0.8480750322341919]]
[39050, 20, 1, [5.996281623840332, -5.356198310852051]]
[39050, 19, 1, [8.730785369873047, -3.780080556869507]]
[39050, 4, 1, [8.574951171875, -2.8552985191345215]]
[39050, 6, 1, [1.0384973287582397, -8.39695930480957]]
[39050, 14, 1, [1.2553631067276, -3.8474509716033936]]
[39050, 2, 1, [0.1055087000131607, -11.283424377441406]]
[39050, 13, 1, [1.0996249914169312, -10.544151306152344]]
[39050, 21, 1, [3.6200404167175293, -8.026503562927246]]
[39050, 17, 1, [1.590850591659546, -8.307836532592773]]
[47700, 'popsize', 21, 'queuesize', 0]
[48800, 24, 0, [6.900271892547607, -6.144110202789307]]
[48800, 3, 0, [0.12333404272794724, -0.9328815937042236]]
[48800, 1, 0, [12.393928527832031, -10.71514892578125]]
[48800, 11, 0, [9.535693168640137, -0.11006417125463486]]
[48800, 5, 0, [8.792878150939941, -11.498550415039062]]
[48800, 0, 0, [10.559528350830078, -2.8662309646606445]]
[48800, 18, 0, [6.251357555389404, -3.145214319229126]]
[48800, 8, 0, [11.200983047485352, -6.212993621826172]]
[48800, 10, 0, [1.8062193393707275, -4.04182767868042]]
[48800, 23, 0, [9.516487121582031, -2.72989559173584]]
[48800, 7, 1, [0.6597942113876343, -0.9635732769966125]]
[48800, 20, 1, [5.378437519073486, -4.817381381988525]]
[48800, 19, 1, [8.675211906433105, -3.807441473007202]]
[48800, 4, 1, [7.9187822341918945, -2.3665783405303955]]
[48800, 6, 1, [1.1006635427474976, -8.373163223266602]]
[48800, 14, 1, [1.2106924057006836, -3.8074874877929688]]
[48800, 2, 1, [0.10605854541063309, -11.417054176330566]]
[48800, 13, 1, [0.4518645703792572, -10.045764923095703]]
[48800, 21, 1, [3.0699679851531982, -7.592038631439209]]
[48800, 17, 1, [2.2938878536224365, -7.9077324867248535]]
[48800, 16, 1, [8.324066162109375, -8.73383617401123]]
[57300, 'popsize', 21, 'queuesize', 0]
[58400, 24, 0, [6.953549385070801, -6.193751335144043]]
[58400, 3, 0, [0.12329898029565811, -0.9267368316650391]]
[58400, 1, 0, [12.39394760131836, -10.58603286743164]]
[58400, 11, 0, [9.642300605773926, -0.10797501355409622]]
[58400, 5, 0, [9.092646598815918, -11.636564254760742]]
[58400, 0, 0, [10.165262222290039, -2.682474374771118]]
[58400, 18, 0, [6.526323318481445, -2.6291277408599854]]
[58400, 8, 0, [11.260737419128418, -6.234127521514893]]
[58400, 10, 0, [2.6002731323242188, -4.003201484680176]]
[58400, 23, 0, [10.227499008178711, -2.3778278827667236]]
[58400, 7, 1, [0.3191169202327728, -0.9635134339332581]]
[58400, 20, 1, [4.883805274963379, -4.18706750869751]]
[58400, 19, 1, [8.73285961151123, -3.7732596397399902]]
[58400, 4, 1, [7.3687744140625, -1.788413405418396]]
[58400, 6, 1, [0.9571351408958435, -7.834521770477295]]
[58400, 14, 1, [1.2256475687026978, -3.828340530395508]]
[58400, 2, 1, [0.1060464158654213, -11.549839973449707]]
[58400, 13, 1, [0.12380169332027435, -9.739895820617676]]
[58400, 21, 1, [3.0771608352661133, -7.174108982086182]]
[58400, 17, 1, [3.056575298309326, -7.665646553039551]]
[58400, 16, 1, [7.5300164222717285, -8.601085662841797]]
[67400, 'popsize', 22, 'queuesize', 0]
[68550, 24, 0, [7.218185901641846, -5.899421215057373]]
[68550, 3, 0, [0.1232968121767044, -0.9180665612220764]]
[68550, 1, 0, [12.39393424987793, -10.44700813293457]]
[68550, 11, 0, [9.75284194946289, -0.10792470723390579]]
[68550, 5, 0, [9.139087677001953, -11.681718826293945]]
[68550, 0, 0, [9.396191596984863, -2.3183865547180176]]
[68550, 18, 0, [6.8197922706604, -1.8398574590682983]]
[68550, 8, 0, [11.219057083129883, -6.1993818283081055]]
[68550, 10, 0, [3.4416022300720215, -4.095832347869873]]
[68550, 23, 0, [10.906201362609863, -1.876373291015625]]
[68550, 9, 0, [6.25673246383667, -11.229879379272461]]
[68550, 7, 1, [0.31757211685180664, -0.9630767703056335]]
[68550, 20, 1, [4.623602390289307, -3.6708462238311768]]
[68550, 19, 1, [8.686334609985352, -3.823390245437622]]
[68550, 4, 1, [6.875655174255371, -1.0991755723953247]]
[68550, 6, 1, [0.8142909407615662, -7.013271808624268]]
[68550, 14, 1, [1.2150323390960693, -3.8461244106292725]]
[68550, 2, 1, [0.14046338200569153, -11.61113452911377]]
[68550, 13, 1, [0.12333917617797852, -9.733378410339355]]
[68550, 21, 1, [3.0144567489624023, -6.497367858886719]]
[68550, 17, 1, [3.897291660308838, -7.56017541885376]]
[68550, 16, 1, [6.724731922149658, -8.322380065917969]]
[77500, 'popsize', 22, 'queuesize', 0]
[78650, 24, 0, [7.5551605224609375, -5.629476547241211]]
[78650, 3, 0, [0.12330757081508636, -0.9070504903793335]]
[78650, 1, 0, [12.393982887268066, -10.310096740722656]]
[78650, 11, 0, [9.863936424255371, -0.10787608474493027]]
[78650, 5, 0, [9.358850479125977, -11.583513259887695]]
[78650, 0, 0, [8.707012176513672, -1.8208720684051514]]
