[time, indiv, gender, coords]
[12200, 'popsize', 15, 'queuesize', 0]
[13800, 7, 0, [4.4622063636779785, -1.276779055595398]]
[13800, 19, 0, [8.730378150939941, -3.763479709625244]]
[13800, 18, 0, [3.734961986541748, -3.7456772327423096]]
[13800, 21, 0, [5.614853382110596, -8.7060546875]]
[13800, 11, 0, [6.251817226409912, -1.2259581089019775]]
[13800, 20, 0, [8.705094337463379, -6.210514545440674]]
[13800, 1, 0, [11.5928955078125, -11.238040924072266]]
[13800, 13, 0, [3.709780216217041, -11.204339981079102]]
[13800, 10, 1, [1.2629889249801636, -6.204756736755371]]
[13800, 12, 1, [10.561591148376465, -8.71479320526123]]
[13800, 14, 1, [1.4375778436660767, -3.890794277191162]]
[13800, 22, 1, [3.127751111984253, -6.207871913909912]]
[13800, 2, 1, [0.6497806906700134, -11.21753978729248]]
[13800, 17, 1, [3.4082095623016357, -8.658995628356934]]
[13800, 24, 1, [5.704689025878906, -6.212244987487793]]
[24500, 'popsize', 15, 'queuesize', 0]
[26100, 7, 0, [5.405276775360107, -1.4695838689804077]]
[26100, 19, 0, [8.756098747253418, -3.753871440887451]]
[26100, 18, 0, [3.756241798400879, -3.7323293685913086]]
[26100, 21, 0, [4.607549667358398, -8.460798263549805]]
[26100, 11, 0, [6.246419906616211, -1.207767367362976]]
[26100, 20, 0, [8.75456714630127, -6.200134754180908]]
[26100, 1, 0, [11.451319694519043, -11.390278816223145]]
[26100, 13, 0, [3.7671210765838623, -11.211612701416016]]
[26100, 10, 1, [1.1945693492889404, -6.209700584411621]]
[26100, 12, 1, [9.55685806274414, -8.482569694519043]]
[26100, 14, 1, [2.1720027923583984, -4.619379997253418]]
[26100, 22, 1, [2.1250669956207275, -5.967423439025879]]
[26100, 2, 1, [0.12333182990550995, -11.127250671386719]]
[26100, 17, 1, [3.4273698329925537, -8.674897193908691]]
[26100, 24, 1, [5.283534526824951, -6.119551181793213]]
[36800, 'popsize', 15, 'queuesize', 0]
[38400, 7, 0, [6.301793575286865, -1.825477957725525]]
[38400, 19, 0, [8.76370620727539, -3.7400097846984863]]
[38400, 18, 0, [3.762213945388794, -3.713463068008423]]
[38400, 21, 0, [3.6693270206451416, -8.027114868164062]]
[38400, 11, 0, [6.242249488830566, -1.1896134614944458]]
[38400, 20, 0, [8.786996841430664, -6.151073455810547]]
[38400, 1, 0, [11.546372413635254, -11.574519157409668]]
[38400, 13, 0, [3.745727062225342, -11.232026100158691]]
[38400, 10, 1, [1.229836106300354, -6.144031524658203]]
[38400, 12, 1, [8.638723373413086, -8.024867057800293]]
[38400, 14, 1, [2.722788095474243, -5.488574504852295]]
[38400, 22, 1, [1.855010986328125, -5.689654350280762]]
[38400, 2, 1, [0.12333699315786362, -11.118990898132324]]
[38400, 17, 1, [3.4353976249694824, -8.694571495056152]]
[38400, 24, 1, [4.891764163970947, -6.34253454208374]]
[48950, 'popsize', 15, 'queuesize', 0]
[50550, 7, 0, [6.479058265686035, -1.8851629495620728]]
[50550, 19, 0, [8.816617965698242, -3.4083476066589355]]
[50550, 18, 0, [3.7525696754455566, -3.731137752532959]]
[50550, 21, 0, [2.848682165145874, -7.417246341705322]]
[50550, 11, 0, [6.2128167152404785, -1.1812682151794434]]
[50550, 20, 0, [8.757086753845215, -6.208375453948975]]
[50550, 1, 0, [11.750459671020508, -11.545345306396484]]
[50550, 13, 0, [3.7518510818481445, -11.251821517944336]]
[50550, 10, 1, [1.28078031539917, -6.186455249786377]]
[50550, 12, 1, [7.857551097869873, -7.37105131149292]]
[50550, 14, 1, [3.0535054206848145, -6.445481777191162]]
[50550, 22, 1, [2.232368230819702, -5.895732879638672]]
[50550, 2, 1, [0.12333204597234726, -11.114776611328125]]
[50550, 17, 1, [3.4406213760375977, -8.715639114379883]]
[50550, 24, 1, [4.325418472290039, -6.312865734100342]]
[61150, 'popsize', 15, 'queuesize', 0]
[62750, 7, 0, [6.351383209228516, -1.741142749786377]]
[62750, 19, 0, [8.689038276672363, -2.9289116859436035]]
[62750, 18, 0, [3.0339975357055664, -3.5318965911865234]]
[62750, 21, 0, [2.1795499324798584, -6.647315979003906]]
[62750, 11, 0, [6.190967082977295, -1.1917567253112793]]
[62750, 20, 0, [8.732625007629395, -6.1957688331604]]
[62750, 1, 0, [11.83871078491211, -11.509821891784668]]
[62750, 13, 0, [3.7266194820404053, -11.235345840454102]]
[62750, 10, 1, [1.267892599105835, -6.107912540435791]]
[62750, 12, 1, [7.672083377838135, -7.165974140167236]]
[62750, 14, 1, [3.1589295864105225, -7.462782382965088]]
[62750, 22, 1, [2.2278337478637695, -5.882335186004639]]
[62750, 2, 1, [0.12333004176616669, -11.111078262329102]]
[62750, 17, 1, [3.4332568645477295, -9.068325996398926]]
[62750, 24, 1, [3.795881509780884, -6.337924957275391]]
[73250, 'popsize', 15, 'queuesize', 0]
[74850, 7, 0, [6.143752098083496, -1.5325706005096436]]
[74850, 19, 0, [8.329005241394043, -2.326580286026001]]
[74850, 18, 0, [2.0698227882385254, -3.325639009475708]]
[74850, 21, 0, [2.2983269691467285, -6.526289939880371]]
[74850, 11, 0, [6.201400279998779, -1.2129470109939575]]
[74850, 20, 0, [8.733390808105469, -6.116908550262451]]
[74850, 1, 0, [12.043867111206055, -12.27401351928711]]
[74850, 13, 0, [3.726249933242798, -11.20283031463623]]
[74850, 10, 1, [1.2770143747329712, -6.128626346588135]]
[74850, 12, 1, [7.77359676361084, -6.760063171386719]]
[74850, 14, 1, [3.063270330429077, -8.473421096801758]]
[74850, 22, 1, [2.77392315864563, -6.213685035705566]]
[74850, 2, 1, [0.12333784997463226, -11.103212356567383]]
[74850, 17, 1, [3.4158856868743896, -9.126429557800293]]
[74850, 24, 1, [3.5343759059906006, -6.691154479980469]]
[85350, 'popsize', 15, 'queuesize', 0]
[86900, 7, 0, [6.125296115875244, -1.6044312715530396]]
[86900, 19, 0, [8.316756248474121, -2.3868963718414307]]
[86900, 18, 0, [1.880191683769226, -3.335793972015381]]
[86900, 21, 0, [3.030439853668213, -7.222855567932129]]
[86900, 11, 0, [6.233493328094482, -1.2375671863555908]]
[86900, 20, 0, [8.625715255737305, -6.025242328643799]]
[86900, 1, 0, [11.862645149230957, -12.181963920593262]]
[86900, 13, 0, [3.787317991256714, -11.197429656982422]]
[86900, 10, 1, [1.2141557931900024, -6.137810707092285]]
[86900, 12, 1, [7.766779899597168, -6.0453200340271]]
[86900, 14, 1, [3.1909244060516357, -8.901346206665039]]
[86900, 22, 1, [3.5564889907836914, -6.8587327003479]]
[86900, 2, 1, [0.12333454936742783, -11.099931716918945]]
[86900, 17, 1, [3.878565549850464, -9.264738082885742]]
[86900, 24, 1, [3.4374096393585205, -7.2199320793151855]]
[97400, 'popsize', 15, 'queuesize', 0]
[99000, 7, 0, [6.101189136505127, -1.684969425201416]]
[99000, 19, 0, [8.273232460021973, -2.0601465702056885]]
[99000, 18, 0, [1.90723717212677, -3.3381545543670654]]
[99000, 21, 0, [3.2363786697387695, -7.772923469543457]]
[99000, 11, 0, [6.318888187408447, -1.265451431274414]]
[99000, 20, 0, [8.406615257263184, -5.837185859680176]]
[99000, 1, 0, [11.720723152160645, -12.327290534973145]]
[99000, 13, 0, [3.732053279876709, -11.117444038391113]]
[99000, 10, 1, [1.231384515762329, -6.0652174949646]]
[99000, 12, 1, [7.972175598144531, -5.050936222076416]]
[99000, 14, 1, [3.958324432373047, -9.536674499511719]]
[99000, 22, 1, [3.460151433944702, -7.238396644592285]]
[99000, 2, 1, [0.12333118915557861, -11.09177303314209]]
[99000, 17, 1, [4.142337322235107, -9.574275016784668]]
[99000, 24, 1, [3.0478529930114746, -7.856462478637695]]
[110351, 'popsize', 16, 'queuesize', 0]
[112051, 7, 0, [6.274608135223389, -1.1852794885635376]]
[112051, 19, 0, [8.042973518371582, -1.5259206295013428]]
[112051, 18, 0, [1.9168436527252197, -3.3434972763061523]]
[112051, 21, 0, [3.3226282596588135, -7.658760070800781]]
[112051, 11, 0, [6.4434003829956055, -1.253792405128479]]
[112051, 20, 0, [8.412881851196289, -5.782395839691162]]
[112051, 1, 0, [11.73314094543457, -12.375875473022461]]
[112051, 13, 0, [3.611898422241211, -10.65295696258545]]
[112051, 0, 0, [10.6646146774292, -1.2126587629318237]]
[112051, 10, 1, [1.25321364402771, -6.0979228019714355]]
[112051, 12, 1, [8.435083389282227, -4.072760105133057]]
[112051, 14, 1, [4.339832305908203, -9.62214469909668]]
[112051, 22, 1, [2.3862407207489014, -7.086270809173584]]
[112051, 2, 1, [0.123331218957901, -11.085006713867188]]
[112051, 17, 1, [4.246860980987549, -9.389398574829102]]
[112051, 24, 1, [2.7286558151245117, -7.433420658111572]]
[123401, 'popsize', 16, 'queuesize', 0]
[125001, 7, 0, [6.369700908660889, -1.4368442296981812]]
[125001, 19, 0, [7.888567924499512, -1.359264850616455]]
[125001, 18, 0, [1.9217098951339722, -3.3352136611938477]]
[125001, 21, 0, [4.379612445831299, -7.389025688171387]]
[125001, 11, 0, [6.314867973327637, -1.602197289466858]]
[125001, 20, 0, [8.391148567199707, -5.7739973068237305]]
[125001, 1, 0, [11.748607635498047, -12.375868797302246]]
[125001, 13, 0, [3.6539297103881836, -10.664724349975586]]
[125001, 0, 0, [9.708316802978516, -0.9829103350639343]]
[125001, 10, 1, [1.3583853244781494, -6.062298774719238]]
[125001, 12, 1, [8.600117683410645, -3.821690320968628]]
[125001, 14, 1, [5.3530802726745605, -9.207341194152832]]
[125001, 22, 1, [1.5882331132888794, -6.7102556228637695]]
